ID,tf1,tf2,tf3,tf4,tf5,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime
237,309.5,312.3,310.9,315.2,316.6,19,12700,-6000,12200,-6000,2021/1/14 17:58
238,309.5,309.5,312.3,310.9,315.2,19,13800,-6000,13300,-6000,2021/1/14 17:59
239,308.1,309.5,309.5,312.3,310.9,19,13800,-6000,13300,-6000,2021/1/14 18:00
240,305.3,308.1,309.5,309.5,312.3,19,13950,-6000,13450,-6000,2021/1/14 18:01
241,308.1,305.3,308.1,309.5,309.5,19,14450,-6000,13950,-6000,2021/1/14 18:02
242,303.9,308.1,305.3,308.1,309.5,19,14950,-6000,14450,-6000,2021/1/14 18:03
243,303.9,303.9,308.1,305.3,308.1,19,15450,-6000,14950,-6000,2021/1/14 18:04
244,305.3,303.9,303.9,308.1,305.3,19,15450,-6000,14950,-6000,2021/1/14 18:05
245,306.7,305.3,303.9,303.9,308.1,19,15950,-6000,15450,-6000,2021/1/14 18:05
246,306.7,306.7,305.3,303.9,303.9,19,12200,-6000,15950,-6000,2021/1/14 18:06
247,306.7,306.7,306.7,305.3,303.9,19,12200,-6000,15950,-6000,2021/1/14 18:07
248,308.1,306.7,306.7,306.7,305.3,19,12200,-6000,15950,-6000,2021/1/14 18:08
249,315.2,308.1,306.7,306.7,306.7,19,15950,-6000,15950,-6000,2021/1/14 18:10
250,319.4,315.2,308.1,306.7,306.7,19,15950,-6000,15950,-6000,2021/1/14 18:10
251,325,319.4,315.2,308.1,306.7,19,10000,-6500,11000,-6000,2021/1/14 18:11
252,330.6,325,319.4,315.2,308.1,19,10000,-6500,11000,-6000,2021/1/14 18:12
253,333.4,330.6,325,319.4,315.2,19,11000,-6000,11000,-6000,2021/1/14 18:13
254,343.3,333.4,330.6,325,319.4,19,10000,-6500,11000,-6000,2021/1/14 18:13
255,346.1,343.3,333.4,330.6,325,19,7700,-6500,7700,-6500,2021/1/14 18:14
256,351.7,346.1,343.3,333.4,330.6,19,7500,-6700,7700,-6500,2021/1/14 18:15
257,354.5,351.7,346.1,343.3,333.4,19,7200,-6700,7400,-6500,2021/1/14 18:16
258,3,354.5,351.7,346.1,343.3,19,7000,-6900,7200,-6700,2021/1/14 18:18
259,7.2,3,354.5,351.7,346.1,19,6800,-6100,7000,-5900,2021/1/14 18:18
260,10,7.2,3,354.5,351.7,19,12200,-6000,6150,-7000,2021/1/14 18:19
261,14.2,10,7.2,3,354.5,19,12200,-6000,6150,-7000,2021/1/14 18:20
262,15.6,14.2,10,7.2,3,19,12200,-6000,6350,-7150,2021/1/14 18:21
263,19.8,15.6,14.2,10,7.2,19,12200,-6000,7550,-6650,2021/1/14 18:22
264,19.8,19.8,15.6,14.2,10,19,12200,-6000,6900,-6900,2021/1/14 18:22
265,21.3,19.8,19.8,15.6,14.2,19,12200,-6000,6900,-6600,2021/1/14 18:23
266,25.5,21.3,19.8,19.8,15.6,19,12200,-6000,6900,-6600,2021/1/14 18:24
267,21.3,25.5,21.3,19.8,19.8,19,12200,-6000,6900,-7500,2021/1/14 18:26
268,19.8,21.3,25.5,21.3,19.8,19,12200,-6000,7100,-6200,2021/1/14 18:27
269,19.8,19.8,21.3,25.5,21.3,19,12200,-6000,7100,-6200,2021/1/14 18:28
270,21.3,19.8,19.8,21.3,25.5,19,12200,-6000,7100,-6200,2021/1/14 18:28
271,18.4,21.3,19.8,19.8,21.3,19,12200,-6000,7100,-6200,2021/1/14 18:29
272,17,18.4,21.3,19.8,19.8,19,12200,-6000,7350,-5850,2021/1/14 18:30
273,15.6,17,18.4,21.3,19.8,19,12200,-6000,7500,-5850,2021/1/14 18:31
274,10,15.6,17,18.4,21.3,19,12200,-6000,7500,-4950,2021/1/14 18:32
275,7.2,10,15.6,17,18.4,19,10750,-4900,10550,-4900,2021/1/14 18:32
276,0.2,7.2,10,15.6,17,19,11550,-4800,11350,-4800,2021/1/14 18:34
277,357.3,0.2,7.2,10,15.6,19,11800,-4200,11600,-4200,2021/1/14 18:35
278,354.5,357.3,0.2,7.2,10,19,12400,-4200,12200,-4200,2021/1/14 18:36
279,354.5,354.5,357.3,0.2,7.2,19,12600,-3750,12400,-3750,2021/1/14 18:37
280,353.1,354.5,354.5,357.3,0.2,19,12800,-3750,12600,-3750,2021/1/14 18:37
281,350.3,353.1,354.5,354.5,357.3,19,13000,-3550,12800,-3550,2021/1/14 18:38
282,350.3,350.3,353.1,354.5,354.5,19,13200,-3550,13000,-3550,2021/1/14 18:39
283,347.5,350.3,350.3,353.1,354.5,19,13500,-3550,13000,-3550,2021/1/14 18:40
284,348.9,347.5,350.3,350.3,353.1,19,13700,-3550,13500,-3550,2021/1/14 18:40
285,346.1,348.9,347.5,350.3,350.3,19,14000,-3550,13500,-3550,2021/1/14 18:42
286,348.9,346.1,348.9,347.5,350.3,19,14200,-3550,14000,-3550,2021/1/14 18:43
287,351.7,348.9,346.1,348.9,347.5,19,14400,-3550,14200,-3550,2021/1/14 18:44
