,state0,state1,state2,action_p,action_n,reward,state_0,state_1,state_2,a_loss
86,-0.030086982995271683,-1.0,-0.2997788190841675,-1.0,-0.3008083403110504,-0.0013296170530396534,-0.030461447313427925,-1.0,-0.3008083403110504,0.023576252162456512
87,-0.030461447313427925,-1.0,-0.3008083403110504,-1.0,-0.3018800616264343,-0.0013522529964162878,-0.030856234952807426,-1.0,-0.3018800616264343,0.00649416446685791
88,-0.030856234952807426,-1.0,-0.3018800616264343,-1.0,-0.30299049615859985,-0.001376413472448295,-0.03127060830593109,-1.0,-0.30299049615859985,0.006743867881596088
89,-0.03127060830593109,-1.0,-0.30299049615859985,-1.0,-0.3041408360004425,-0.0014021008571256724,-0.03170411288738251,-1.0,-0.3041408360004425,0.006472181528806686
90,-0.03170411288738251,-1.0,-0.3041408360004425,-1.0,-0.30532047152519226,-0.0014293322863920316,-0.0321553573012352,-1.0,-0.30532047152519226,0.007348089478909969
91,-0.0321553573012352,-1.0,-0.30532047152519226,-1.0,-0.30651557445526123,-0.0014580652474603345,-0.032621897757053375,-1.0,-0.30651557445526123,0.022678518667817116
92,-0.032621897757053375,-1.0,-0.30651557445526123,-1.0,-0.30773237347602844,-0.0014881913528033998,-0.03310244902968407,-1.0,-0.30773237347602844,0.006473040208220482
93,-0.03310244902968407,-1.0,-0.30773237347602844,-1.0,-0.308976411819458,-0.001519670314648082,-0.03359659016132355,-1.0,-0.308976411819458,0.021900678053498268
94,-0.03359659016132355,-1.0,-0.308976411819458,-1.0,-0.31026023626327515,-0.0015525172823640395,-0.034105196595191956,-1.0,-0.31026023626327515,0.07897408306598663
95,-0.034105196595191956,-1.0,-0.31026023626327515,-1.0,-0.31156614422798157,-0.0015868266673776422,-0.034627217799425125,-1.0,-0.31156614422798157,0.022939804941415787
96,-0.034627217799425125,-1.0,-0.31156614422798157,-1.0,-0.3128144443035126,-0.001622550354333487,-0.03515394404530525,-1.0,-0.3128144443035126,0.005972377955913544
97,-0.03515394404530525,-1.0,-0.3128144443035126,-1.0,-0.3140679597854614,-0.0016591409700159967,-0.035684846341609955,-1.0,-0.3140679597854614,0.005843058694154024
98,-0.035684846341609955,-1.0,-0.3140679597854614,-1.0,-0.3153448700904846,-0.0016965805300097677,-0.03622131794691086,-1.0,-0.3153448700904846,0.018360722810029984
99,-0.03622131794691086,-1.0,-0.3153448700904846,-1.0,-0.3166399300098419,-0.00173498051962319,-0.03676392883062363,-1.0,-0.3166399300098419,0.006257365457713604
100,-0.03676392883062363,-1.0,-0.3166399300098419,-1.0,-0.3179666996002197,-0.0017744034992519578,-0.03731446713209152,-1.0,-0.3179666996002197,0.013533292338252068
101,-0.03731446713209152,-1.0,-0.3179666996002197,-1.0,-0.31917592883110046,-0.0018149628818403876,-0.03785942494869232,-1.0,-0.31917592883110046,0.013944074511528015
102,-0.03785942494869232,-1.0,-0.31917592883110046,-1.0,-0.3201368451118469,-0.0018556410259198484,-0.03837527334690094,-1.0,-0.3201368451118469,0.006877662148326635
103,-0.03837527334690094,-1.0,-0.3201368451118469,-1.0,-0.31880930066108704,-0.001894114493334082,-0.038640670478343964,-1.0,-0.31880930066108704,0.005618487484753132
104,-0.038640670478343964,-1.0,-0.31880930066108704,-1.0,-0.31801238656044006,-0.001914084780893776,-0.03876633569598198,-1.0,-0.31801238656044006,0.006625520996749401
105,-0.03876633569598198,-1.0,-0.31801238656044006,-1.0,-0.31589749455451965,-0.0019231490481941241,-0.03865450620651245,-1.0,-0.31589749455451965,0.005886661820113659
106,-0.03865450620651245,-1.0,-0.31589749455451965,-1.0,-0.3144267201423645,-0.0019142331847181427,-0.03842354938387871,-1.0,-0.3144267201423645,0.007589434273540974
107,-0.03842354938387871,-1.0,-0.3144267201423645,-1.0,-0.31349748373031616,-0.001896430212260506,-0.03815392404794693,-1.0,-0.31349748373031616,0.006979768630117178
108,-0.03815392404794693,-1.0,-0.31349748373031616,-1.0,-0.31289100646972656,-0.0018759002598644388,-0.03788606822490692,-1.0,-0.31289100646972656,0.0062369005754590034
109,-0.03788606822490692,-1.0,-0.31289100646972656,-1.0,-0.31174787878990173,-0.001855512474907826,-0.037567123770713806,-1.0,-0.31174787878990173,0.005256796721369028
110,-0.037567123770713806,-1.0,-0.31174787878990173,-1.0,-0.31063365936279297,-0.001831483511855795,-0.037211596965789795,-1.0,-0.31063365936279297,0.010846583172678947
111,-0.037211596965789795,-1.0,-0.31063365936279297,-1.0,-0.3098514974117279,-0.001805050211892207,-0.036860205233097076,-1.0,-0.3098514974117279,0.015958547592163086
112,-0.036860205233097076,-1.0,-0.3098514974117279,-1.0,-0.30933892726898193,-0.0017792344380835646,-0.036538295447826385,-1.0,-0.30933892726898193,0.005951383616775274
113,-0.036538295447826385,-1.0,-0.30933892726898193,-1.0,-0.3090698719024658,-0.0017558482827595087,-0.03626290708780289,-1.0,-0.3090698719024658,0.010022097267210484
114,-0.03626290708780289,-1.0,-0.3090698719024658,-1.0,-0.3089950680732727,-0.0017360426105054467,-0.0360424742102623,-1.0,-0.3089950680732727,0.007805339060723782
115,-0.0360424742102623,-1.0,-0.3089950680732727,-1.0,-0.30907633900642395,-0.001720332050547305,-0.03587982803583145,-1.0,-0.30907633900642395,0.005965922027826309
116,-0.03587982803583145,-1.0,-0.30907633900642395,-1.0,-0.30931246280670166,-0.0017088451050585555,-0.03577706962823868,-1.0,-0.30931246280670166,0.013744499534368515
117,-0.03577706962823868,-1.0,-0.30931246280670166,-1.0,-0.30932825803756714,-0.0017015816798170939,-0.035699114203453064,-1.0,-0.30932825803756714,0.04801530763506889
118,-0.035699114203453064,-1.0,-0.30932825803756714,-1.0,-0.3086545169353485,-0.0016959158352435825,-0.03557293862104416,-1.0,-0.3086545169353485,0.00662816921249032
119,-0.03557293862104416,-1.0,-0.3086545169353485,-1.0,-0.3073098659515381,-0.0016867090016835693,-0.035344094038009644,-1.0,-0.3073098659515381,0.006610913667827845
120,-0.035344094038009644,-1.0,-0.3073098659515381,-1.0,-0.3063264787197113,-0.0016704502647967572,-0.03507118672132492,-1.0,-0.3063264787197113,0.009630011394619942
